Date,Open,High,Low,Close,Adj Close,Volume
2020-09-01,203000.0,206500.0,202500.0,204000.0,202686.6875,57642
2020-09-02,205500.0,217500.0,204500.0,213500.0,212125.53125,199133
2020-09-03,217000.0,219000.0,213000.0,213500.0,212125.53125,128470
2020-09-04,208500.0,211500.0,206500.0,207500.0,206164.15625,143484
2020-09-07,209500.0,215500.0,207000.0,214500.0,213119.09375,94426
2020-09-08,215000.0,216000.0,211000.0,211500.0,210138.40625,84463
2020-09-09,208500.0,211000.0,207000.0,207000.0,205667.375,112957
2020-09-10,209000.0,209500.0,205500.0,206000.0,204673.8125,151324
2020-09-11,206500.0,212500.0,206500.0,209000.0,207654.5,123929
2020-09-14,212500.0,218500.0,211000.0,215500.0,214112.65625,183851
2020-09-15,216000.0,218500.0,210500.0,216500.0,215106.21875,134456
2020-09-16,216000.0,223500.0,216000.0,218000.0,216596.5625,142785
2020-09-17,218500.0,221500.0,214000.0,218500.0,217093.34375,94230
2020-09-18,220000.0,222500.0,214500.0,215500.0,214112.65625,101048
2020-09-21,216500.0,219000.0,211000.0,211500.0,210138.40625,95155
2020-09-22,210500.0,211500.0,206000.0,208500.0,207157.71875,106135
2020-09-23,208500.0,210000.0,205000.0,207500.0,206164.15625,64872
2020-09-24,204000.0,205500.0,202000.0,202500.0,201196.34375,117670
2020-09-25,203500.0,204500.0,202500.0,204000.0,202686.6875,38784
2020-09-28,205000.0,208500.0,205000.0,208500.0,207157.71875,48417
2020-09-29,214000.0,214500.0,211000.0,212500.0,211131.96875,93674
2020-10-05,212500.0,215500.0,209000.0,213000.0,211628.75,66957
2020-10-06,213000.0,213500.0,209000.0,210000.0,208648.0625,55266
2020-10-07,209500.0,210000.0,207000.0,208000.0,206660.9375,58207
2020-10-08,210000.0,211000.0,207500.0,208000.0,206660.9375,77446
2020-10-12,211500.0,220000.0,210500.0,219500.0,218086.90625,257103
2020-10-13,220000.0,222500.0,215000.0,218500.0,217093.34375,109485
2020-10-14,218000.0,219000.0,214000.0,214500.0,213119.09375,66365
2020-10-15,214500.0,214500.0,210000.0,211500.0,210138.40625,64653
2020-10-16,213000.0,216500.0,210000.0,215000.0,213615.875,60081
2020-10-19,216000.0,226500.0,216000.0,225000.0,223551.5,284701
2020-10-20,222000.0,224500.0,217500.0,220000.0,218583.6875,117429
2020-10-21,221500.0,228000.0,220000.0,225500.0,224048.28125,132904
2020-10-22,223000.0,225000.0,221500.0,223000.0,221564.375,78428
2020-10-23,226000.0,226000.0,220500.0,223500.0,222061.15625,59982
2020-10-26,224000.0,226000.0,218000.0,218000.0,216596.5625,86769
2020-10-27,216000.0,216500.0,210500.0,212000.0,210635.1875,141381
2020-10-28,210500.0,213500.0,209500.0,213000.0,211628.75,94434
2020-10-29,209000.0,211500.0,208500.0,210500.0,209144.84375,64838
2020-10-30,211500.0,212500.0,207500.0,207500.0,206164.15625,73849
2020-11-02,208500.0,211500.0,208500.0,209000.0,207654.5,43200
2020-11-03,209500.0,212500.0,209500.0,211000.0,209641.625,35484
2020-11-04,214500.0,214500.0,210000.0,212000.0,210635.1875,45560
2020-11-05,213000.0,214500.0,212000.0,213500.0,212125.53125,55229
2020-11-06,214500.0,215500.0,211500.0,213000.0,211628.75,66697
2020-11-09,215000.0,217000.0,213500.0,216000.0,214609.4375,76250
2020-11-10,232000.0,232000.0,224000.0,228000.0,226532.1875,394388
2020-11-11,228000.0,232500.0,223500.0,231500.0,230009.65625,166454
2020-11-12,231000.0,237000.0,227000.0,229000.0,227525.75,206603
2020-11-13,232000.0,236000.0,229500.0,230000.0,228519.3125,140734
2020-11-16,232500.0,239000.0,228500.0,237000.0,235474.25,165038
2020-11-17,240000.0,243500.0,236000.0,237000.0,235474.25,144657
2020-11-18,237500.0,239000.0,228000.0,229500.0,228022.53125,173711
2020-11-19,227500.0,229500.0,224000.0,229000.0,227525.75,87871
2020-11-20,229000.0,233500.0,227000.0,232000.0,230506.4375,92695
2020-11-23,229500.0,233500.0,226500.0,233500.0,231996.78125,91053
2020-11-24,237000.0,241000.0,235000.0,236000.0,234480.6875,122303
2020-11-25,239500.0,239500.0,230500.0,233500.0,231996.78125,97067
2020-11-26,231000.0,232500.0,228500.0,230500.0,229016.09375,69694
2020-11-27,230500.0,232000.0,228000.0,230500.0,229016.09375,73231
2020-11-30,231000.0,234000.0,229000.0,230500.0,229016.09375,99236
2020-12-01,231000.0,232500.0,230500.0,231000.0,229512.875,71842
2020-12-02,231500.0,238500.0,231000.0,235000.0,233487.125,126722
2020-12-03,239500.0,239500.0,235000.0,238000.0,236467.8125,100975
2020-12-04,238500.0,239500.0,235000.0,235500.0,233983.90625,97508
2020-12-07,234500.0,235000.0,230500.0,231500.0,230009.65625,107391
2020-12-08,231000.0,235500.0,230000.0,233000.0,231500.0,67342
2020-12-09,233000.0,248000.0,233000.0,245000.0,243422.75,297341
2020-12-10,245000.0,249500.0,242000.0,243000.0,241435.625,155162
2020-12-11,244000.0,256000.0,244000.0,253000.0,251371.234375,209250
2020-12-14,247000.0,249000.0,242500.0,243000.0,241435.625,207175
2020-12-15,241500.0,243000.0,236500.0,240000.0,238454.9375,132807
2020-12-16,240000.0,243500.0,238500.0,240000.0,238454.9375,81412
2020-12-17,239500.0,240500.0,237500.0,238000.0,236467.8125,56712
2020-12-18,239000.0,241500.0,237000.0,240000.0,238454.9375,63517
2020-12-21,239000.0,239000.0,236000.0,238000.0,236467.8125,66321
2020-12-22,236000.0,237500.0,233000.0,233000.0,231500.0,99301
2020-12-23,233000.0,234500.0,230000.0,231500.0,230009.65625,85354
2020-12-24,232000.0,238000.0,232000.0,236000.0,234480.6875,67283
2020-12-28,236000.0,236500.0,232500.0,233000.0,231500.0,69885
