Date,Open,High,Low,Close,Volume,fluct_grade
2020-09-01,203000,206500,202500,204000,57642,3
2020-09-02,205500,217500,204500,213500,199133,5
2020-09-03,217000,219000,213000,213500,128470,3
2020-09-04,208500,211500,206500,207500,143484,1
2020-09-07,209500,215500,207000,214500,94426,4
2020-09-08,215000,216000,211000,211500,84463,2
2020-09-09,208500,211000,207000,207000,112957,1
2020-09-10,209000,209500,205500,206000,151324,2
2020-09-11,206500,212500,206500,209000,123929,3
2020-09-14,212500,218500,211000,215500,183851,4
2020-09-15,216000,218500,210500,216500,134456,3
2020-09-16,216000,223500,216000,218000,142785,3
2020-09-17,218500,221500,214000,218500,94230,3
2020-09-18,220000,222500,214500,215500,101048,2
2020-09-21,216500,219000,211000,211500,95155,2
2020-09-22,210500,211500,206000,208500,106135,2
2020-09-23,208500,210000,205000,207500,64872,2
2020-09-24,204000,205500,202000,202500,117670,1
2020-09-25,203500,204500,202500,204000,38784,3
2020-09-28,205000,208500,205000,208500,48417,4
2020-09-29,214000,214500,211000,212500,93674,3
2020-10-05,212500,215500,209000,213000,66957,3
2020-10-06,213000,213500,209000,210000,55266,2
2020-10-07,209500,210000,207000,208000,58207,2
2020-10-08,210000,211000,207500,208000,77446,3
2020-10-12,211500,220000,210500,219500,257103,5
2020-10-13,220000,222500,215000,218500,109485,2
2020-10-14,218000,219000,214000,214500,66365,2
2020-10-15,214500,214500,210000,211500,64653,2
2020-10-16,213000,216500,210000,215000,60081,3
2020-10-19,216000,226500,216000,225000,284701,5
2020-10-20,222000,224500,217500,220000,117429,1
2020-10-21,221500,228000,220000,225500,132904,4
2020-10-22,223000,225000,221500,223000,78428,2
2020-10-23,226000,226000,220500,223500,59982,3
2020-10-26,224000,226000,218000,218000,86769,1
2020-10-27,216000,216500,210500,212000,141381,1
2020-10-28,210500,213500,209500,213000,94434,3
2020-10-29,209000,211500,208500,210500,64838,2
2020-10-30,211500,212500,207500,207500,73849,2
2020-11-02,208500,211500,208500,209000,43200,3
2020-11-03,209500,212500,209500,211000,35484,3
2020-11-04,214500,214500,210000,212000,45560,3
2020-11-05,213000,214500,212000,213500,55229,3
2020-11-06,214500,215500,211500,213000,66697,2
2020-11-09,215000,217000,213500,216000,76250,3
2020-11-10,232000,232000,224000,228000,394388,5
2020-11-11,228000,232500,223500,231500,166454,3
2020-11-12,231000,237000,227000,229000,206603,2
2020-11-13,232000,236000,229500,230000,140734,3
2020-11-16,232500,239000,228500,237000,165038,4
2020-11-17,240000,243500,236000,237000,144657,3
2020-11-18,237500,239000,228000,229500,173711,1
2020-11-19,227500,229500,224000,229000,87871,2
2020-11-20,229000,233500,227000,232000,92695,3
2020-11-23,229500,233500,226500,233500,91053,3
2020-11-24,237000,241000,235000,236000,122303,3
2020-11-25,239500,239500,230500,233500,97067,2
2020-11-26,231000,232500,228500,230500,69694,2
2020-11-27,230500,232000,228000,230500,73231,3
2020-11-30,231000,234000,229000,230500,99236,3
2020-12-01,231000,232500,230500,231000,71842,3
2020-12-02,231500,238500,231000,235000,126722,3
2020-12-03,239500,239500,235000,238000,100975,3
2020-12-04,238500,239500,235000,235500,97508,2
2020-12-07,234500,235000,230500,231500,107391,2
2020-12-08,231000,235500,230000,233000,67342,3
2020-12-09,233000,248000,233000,245000,297341,5
2020-12-10,245000,249500,242000,243000,155162,2
2020-12-11,244000,256000,244000,253000,209250,5
2020-12-14,247000,249000,242500,243000,207175,1
2020-12-15,241500,243000,236500,240000,132807,2
2020-12-16,240000,243500,238500,240000,81412,3
2020-12-17,239500,240500,237500,238000,56712,2
2020-12-18,239000,241500,237000,240000,63517,3
2020-12-21,239000,239000,236000,238000,66321,2
2020-12-22,236000,237500,233000,233000,99301,1
2020-12-23,233000,234500,230000,231500,85354,2
2020-12-24,232000,238000,232000,236000,67283,3
2020-12-28,236000,236500,232500,233000,69885,2
2020-12-29,235000,238000,233000,234500,69113,3
2020-12-30,235500,241000,234500,239500,88494,4
2021-01-04,241500,241500,237500,238500,111422,2
2021-01-05,237500,240500,235000,239500,107430,3
2021-01-06,241000,242000,237000,237000,112348,2
2021-01-07,238500,241500,237500,240000,146623,3
2021-01-08,240500,251500,240000,247500,277387,4
2021-01-11,253000,255000,240500,243000,277187,2
2021-01-12,242500,258500,240000,255000,379558,5
2021-01-13,258000,258000,251000,254000,190149,2
2021-01-14,254500,260000,251500,254000,201518,3
2021-01-15,257000,259000,247000,247500,189827,1
2021-01-18,244000,245000,238000,239000,176946,1
2021-01-19,242000,244500,240500,243500,88072,3
2021-01-20,244500,245500,239500,243500,108747,3
2021-01-21,246000,253000,243000,249500,158156,4
2021-01-22,251000,257500,247000,251000,170501,3
2021-01-25,252500,256000,251000,255000,121020,3
2021-01-26,257500,257500,247500,248000,155454,1
2021-01-27,249000,251500,242000,243500,127695,2
2021-01-28,237500,240500,235500,238000,128109,1
2021-01-29,240500,241000,231000,233500,140334,2
2021-02-01,233500,237000,230500,237000,76057,3
2021-02-02,237500,242000,236000,238000,80088,3
2021-02-03,241500,242000,237000,239500,61712,3
2021-02-04,237500,240000,235000,235500,81242,2
2021-02-05,237500,238500,236000,238000,52616,3
2021-02-08,238000,246500,237000,245000,157255,4
2021-02-09,245000,248000,242000,242000,90422,2
