Date,Open,High,Low,Close,Volume
2021-04-26,376500,379000,374500,377500,484369
2021-04-27,378000,381500,376000,380000,392509
2021-04-28,381500,382000,373000,373500,485971
2021-04-29,373500,377500,366000,366500,743106
2021-04-30,366000,366000,353500,359500,1028215
2021-05-03,366000,370500,360500,363000,507361
2021-05-04,366000,367000,360500,364500,398383
2021-05-06,360500,364500,359500,361500,632873
2021-05-07,360500,364000,360000,361000,446152
2021-05-10,362500,364000,360000,362000,572111
2021-05-11,356500,358000,347500,349000,2373361
2021-05-12,349500,350500,340500,343000,1120816
2021-05-13,337500,341500,334500,337500,992326
2021-05-14,338000,344500,337500,342500,460390
2021-05-17,345500,349000,341000,344000,453316
2021-05-18,347000,349500,345000,349500,445015
2021-05-20,351500,355000,348500,351000,561151
2021-05-21,355000,360000,353500,360000,618431
2021-05-24,356500,358500,353000,355500,361765
2021-05-25,355500,358000,352500,358000,433413
2021-05-26,359500,366500,359500,363000,543316
2021-05-27,363000,363500,353500,358000,963669
2021-05-28,361500,361500,355500,358000,439112
2021-05-31,359500,364000,357000,362500,397118
2021-06-01,362500,368500,362500,367000,404110
2021-06-02,367000,369000,362000,363000,397044
2021-06-03,362500,365000,361000,362000,292257
2021-06-04,360500,360500,355000,357000,433146
2021-06-07,358500,364000,357000,362500,393697
2021-06-08,361500,365500,361500,362500,370929
2021-06-09,360500,363500,358500,358500,361808
2021-06-10,365000,377000,361500,373500,1502316
2021-06-11,378000,378500,367500,372500,658403
2021-06-14,377500,388000,375500,387000,1208589
2021-06-15,387000,389000,381500,387000,625594
2021-06-16,384500,395000,383000,391000,836281
2021-06-17,389500,394500,385000,389500,670522
2021-06-18,391500,400500,391000,398000,1268656
2021-06-21,398000,402000,392000,397000,809114
2021-06-22,400000,400500,391000,391000,702840
2021-06-23,393000,427000,392500,423500,2721355
2021-06-24,430000,436000,413000,419500,2143286
2021-06-25,420000,420000,405000,410000,1382051
2021-06-28,406000,413000,403000,408000,623480
2021-06-29,409500,411500,406000,411500,572319
